customer_id,gender,age,country,pages_visited,session_time,purchased,product_clicked,product_category,price
71974402-3ecd-4cb6-90cb-84805ac45d6a,Male,19,Sudan,9,8.48,0,seven,Electronics,0.0
7f656f70-7a89-4a4e-9bae-9d1d403f70a7,Male,55,Niue,14,2.41,0,between,Clothing,0.0
0bb2052d-7d53-4bbb-adc5-0ceb202e3de0,Male,50,Papua New Guinea,20,2.26,0,anything,Beauty,0.0
c636d181-1763-4cbc-8efc-afe08c923639,Female,32,Ukraine,15,18.29,0,blue,Clothing,0.0
e8dbc1eb-d0ac-4c39-b032-7f1a149e13d6,Female,39,Belarus,9,5.93,1,eat,Electronics,50.91
d8768f10-3ca1-450b-830a-19dd9d4d68fd,Male,40,French Southern Territories,12,18.71,0,cost,Home,0.0
9e1a8c4d-7b12-43c4-93f1-2d883a06f0e8,Male,42,Bosnia and Herzegovina,3,17.23,1,especially,Beauty,100.18
7682c637-3acb-4451-9e09-f9f4d559e303,Male,20,Somalia,8,23.53,0,right,Clothing,0.0
fd615096-cf10-4f65-a663-07cd9afa8703,Male,42,Montenegro,9,14.42,1,teacher,Clothing,188.24
1c0b6910-9318-494a-8306-566087aa4a3a,Male,60,Kazakhstan,9,21.5,0,some,Beauty,0.0
0a7ced9b-a407-450c-b400-a4a7750367de,Male,52,Saint Lucia,8,6.16,1,others,Books,494.81
6ab6abc5-179b-4c9f-a8a2-cd802c61f0cd,Male,61,Tonga,11,25.52,0,with,Clothing,0.0
4657cdf6-90ea-416b-8e44-786b05701893,Male,38,Liechtenstein,13,9.13,0,skin,Beauty,0.0
0c2fd4ea-ebff-4d82-a8cd-c78f4b484cc1,Female,31,Tunisia,16,12.78,1,lawyer,Clothing,136.12
de1faeb7-5999-4238-be28-c27f28236217,Male,65,Bhutan,18,16.86,1,can,Beauty,202.7
81585ceb-a0b8-4e0b-89dc-be6b03575fdb,Male,26,Ethiopia,17,15.57,0,action,Electronics,0.0
655e9dc0-1c7c-45cd-8519-7841b32445bf,Male,58,Austria,6,24.07,1,animal,Beauty,36.45
10993559-6810-4a47-925d-c27575a5aee9,Female,56,New Zealand,15,16.58,0,main,Electronics,0.0
c85b420c-cb72-4c61-88af-a251182bce60,Female,59,Gibraltar,11,4.68,1,seem,Clothing,229.59
7726901d-d290-4d78-a54d-9d3a422f7eac,Female,50,Antigua and Barbuda,6,15.97,0,whether,Books,0.0
dd6b97cf-ca06-4509-affa-eb73004b960c,Male,27,Andorra,12,23.23,0,nor,Beauty,0.0
681cb381-fcad-4e14-b812-ab4d94de62ec,Female,49,Singapore,1,4.69,1,good,Books,123.53
bfe91985-55ad-4382-a690-0cf88999b7e8,Male,54,Jamaica,3,3.94,1,century,Electronics,489.1
a2e4cd90-70e1-4041-a89c-870dc2c3f914,Male,26,French Polynesia,16,28.49,0,next,Books,0.0
3c38070d-9e2d-43b4-ae0d-d9900f492da2,Female,31,Niue,18,23.03,0,whom,Books,0.0
231ef0de-afbe-4d9e-831d-de975209f0f8,Female,60,Finland,12,13.99,1,job,Electronics,127.71
7d9896b4-c5a8-4f86-844a-d93870b3d750,Male,39,French Southern Territories,1,18.27,0,behind,Beauty,0.0
83fb6184-477f-4451-976c-295c8778ed4c,Male,18,Romania,3,21.67,0,however,Clothing,0.0
3b657ab7-a266-4f71-9482-6a43276ed427,Male,20,Maldives,11,3.52,0,stock,Books,0.0
f102d922-dc14-4fc2-8bd2-540e8b21c4fb,Female,31,Saint Barthelemy,18,5.27,1,summer,Clothing,393.39
716dce3e-ceb7-4f54-8f19-d6edd4ca41ee,Female,30,French Guiana,4,4.26,1,suddenly,Books,214.67
0800c391-3f81-4a9a-8c0e-620f95ee6373,Female,64,Taiwan,2,20.69,0,candidate,Electronics,0.0
f9b964f3-9e8c-4412-8e02-a832882c9fc7,Female,64,North Macedonia,11,24.32,0,create,Clothing,0.0
910b9176-71be-413d-8e4e-ae4c485b2af8,Male,30,Falkland Islands (Malvinas),18,14.29,1,once,Clothing,142.88
6462ec5a-bd0f-45d2-b74c-1cb8f53b092d,Male,22,Mali,15,24.53,0,public,Electronics,0.0
cd54d8a7-4260-4b9d-9efb-90348a3d7182,Male,23,Syrian Arab Republic,8,6.24,1,type,Home,110.8
d929ef36-1675-4c7a-903e-388ed8e7bcff,Female,21,Faroe Islands,6,12.3,1,here,Books,463.63
e9cdcbee-3810-48ee-8361-ae3394fdaae3,Female,36,Czech Republic,14,21.35,1,include,Clothing,99.0
fe3af911-eef8-4342-8d7e-7795faa1bc97,Male,21,Italy,19,22.47,0,condition,Books,0.0
1f2695e2-6762-4544-b997-3b638090533f,Male,21,Mali,19,15.09,0,after,Electronics,0.0
ee604e97-eb2a-466b-8712-8801fe028f30,Male,29,Trinidad and Tobago,3,18.46,0,can,Home,0.0
8319e90f-5a9a-458d-8d8d-1c5a11f3b275,Male,54,Turkey,8,18.0,0,room,Beauty,0.0
39995dcd-9075-4160-82e3-5cc5691773c0,Male,44,South Georgia and the South Sandwich Islands,19,17.61,1,film,Books,106.11
a570047d-66b3-4b2f-b679-4500d1fbf52f,Female,33,Liberia,9,12.78,1,respond,Home,161.51
380db89b-765f-4bde-827c-6382104e29d4,Male,18,British Indian Ocean Territory (Chagos Archipelago),15,19.2,0,surface,Electronics,0.0
1356a7cb-d336-43e0-a740-8f5a30c8b955,Male,50,Afghanistan,9,5.28,1,put,Electronics,440.24
46bd79f8-0f06-47a9-bcff-4fe8f9dab2e4,Female,36,Jamaica,6,13.99,1,to,Beauty,492.01
ed51da5b-430d-46ff-8ad8-6301a3d40629,Male,60,Cyprus,18,10.03,0,approach,Clothing,0.0
fd56fa10-2c22-4a02-9386-8b2e08860828,Female,25,Liberia,4,22.66,0,eat,Books,0.0
39cccff4-3592-47a2-93c8-498ab4bd6bca,Female,56,Ireland,7,21.95,0,other,Books,0.0
ae3f4cdc-499e-4c6e-a6f6-b309de139d72,Female,34,Monaco,2,4.13,1,voice,Books,26.82
7244a091-0008-4757-aa43-ac1690e8b2d4,Female,26,Uruguay,9,6.11,1,single,Beauty,354.31
d2b0e431-5ab4-49a0-998d-2f57429dbb74,Male,25,Tonga,3,28.43,0,movie,Beauty,0.0
4c64bcf2-5efa-4e19-8b89-a0a17c68ab2d,Male,41,Fiji,19,17.25,1,old,Clothing,25.71
663cf1fe-d75d-428e-a8e8-6e4509f4baa1,Female,20,Iraq,12,7.49,0,tough,Electronics,0.0
d744613a-fba5-4481-8e19-d848a9383019,Female,53,Isle of Man,14,29.25,0,station,Clothing,0.0
e21d6d59-90ec-4cb4-88e0-ed3aeea9cac2,Male,29,Wallis and Futuna,14,2.21,1,dark,Home,402.11
6aaf4338-f588-43e7-bbb1-b899ed8eb771,Male,35,Djibouti,6,23.94,0,officer,Home,0.0
8bee9dc8-8d88-4317-af63-7be596231b7b,Male,48,Czech Republic,8,7.19,1,nice,Books,156.07
8a9b32c7-588f-42e8-9098-2585e91c3adb,Male,32,Tunisia,1,20.31,1,require,Books,142.91
f9acfaa5-e83b-4542-9141-b2adbbd9b765,Male,35,Wallis and Futuna,12,19.78,1,note,Beauty,168.92
a6d0e73a-dcd1-46f8-a1fc-747b777b9652,Male,25,Cote d'Ivoire,9,6.59,1,mention,Electronics,58.66
921453ec-bdb8-4201-aa0f-149cf37200f0,Female,40,Angola,11,13.94,0,central,Home,0.0
0cc1cce2-b3dd-4d5e-b8db-9c7e8adb7894,Male,34,United Kingdom,2,21.7,0,hospital,Beauty,0.0
a59a1f9b-652c-45f8-966f-bc943afaeb33,Male,41,Ireland,14,3.49,1,group,Beauty,160.39
9046f374-a6b4-4e56-b55d-04dfc36a3ddc,Male,64,Mayotte,10,15.95,1,research,Books,204.19
3781d2e9-06f4-45c4-ac02-366f3979336a,Female,53,Indonesia,5,6.97,1,situation,Clothing,309.68
fe1fd9d5-8ae4-43f8-8d99-230c65ebdd34,Female,43,Tonga,18,25.26,1,condition,Books,109.04
98836864-b256-4eb6-85ad-679a21d65ca3,Female,47,Romania,15,14.1,0,pattern,Beauty,0.0
75051e5e-77a7-46fc-9b12-2f2d31996c55,Female,65,Saint Barthelemy,6,20.28,1,start,Beauty,333.61
f70cdf47-4bba-4a39-b4f5-5195c572fba2,Female,23,Albania,8,20.67,0,black,Clothing,0.0
eaaf4e46-b24b-47a3-aa64-479bb6f51022,Male,19,New Zealand,2,8.48,1,save,Beauty,425.62
